-155.940114,19.081331,-155.618917,19.5307
-155.335476,19.802474,-155.104434,19.93224
-155.85966,20.120695,-155.765027,20.268469
-155.396864,19.519641,-154.987674,19.800274
-155.98572,19.53958,-155.822977,19.70849
-155.91047,19.392261,-155.75381,19.474893
-155.71413,19.89532,-155.395849,20.20051
-155.158495,19.841149,-155.097464,19.881055
-155.920811,18.941229,-155.67534,19.183886
-155.907197,19.828869,-155.67643,19.996133
-156.074738,19.528943,-155.725859,19.895644
-155.940114,19.081331,-155.618917,19.5307
-155.335476,19.802474,-155.104434,19.93224
-155.85966,20.120695,-155.765027,20.268469
-155.396864,19.519641,-154.987674,19.800274
-155.98572,19.53958,-155.822977,19.70849
-155.91047,19.392261,-155.75381,19.474893